Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/08,Fev/08,Mar/08,Abr/08,Mai/08,Jun/08,Jul/08,Ago/08,Set/08,Out/08,Nov/08,Dez/08,Região,Rpga,Total
Mata de São João - EBDA,-12.534671,-38.30105,15,254,252,115.3,292,167,226,179.5,121,75.5,106,113.5,Recôncavo,RPGA do Recôncavo Norte,1697.3
Esplanada - EBDA,-11.784656,-37.951038,19,103,231,133,204,210.1,215.1,174.5,88,65,20,91,Nordeste,RPGA do Recôncavo Norte,1442.7
Catu - EBDA,-12.351333,-38.384384,17,119,181,85.5,238,196,164.5,162,22.5,83,0,95.5,Recôncavo,RPGA do Recôncavo Norte,1268.5
Salvador - CIA,-12.865789,-38.365219,1.5,91,230,231,390,245,169.5,138,58,73.2,49.5,115,Recôncavo,RPGA do Recôncavo Norte,1627.2
Camaçari (Santa Helena) - 323,-12.56202,-38.1606,3.5,57.8,168.5,111.7,215.8,103.4,181.1,123.7,62,48.5,54.5,61.6,Recôncavo,RPGA do Recôncavo Norte,1076
São Sebastião do Passé - EBDA,-12.518004,-38.501056,17.5,142.5,302.5,55.5,166.7,144.8,131.3,118.3,53.8,48.1,26.5,138.7,Recôncavo,RPGA do Recôncavo Norte,1181
Conceição do Almeida - EBDA,-12.768005,-39.16774,30,73.5,184,55.5,82,227.7,216.5,118,83,52.5,72.5,267,Recôncavo,RPGA do Recôncavo Sul,1122.7
Dias D´Ávila - EMBASA,-12.620505,-38.315217,,,,,,,132.3,112.1,74.9,54,14.9,117.9,Recôncavo,RPGA do Recôncavo Norte,373.3
Santo Antônio de Jesus - EBDA,-12.96801,-39.267744,0,176,150,85.5,60,226,101.5,111.5,59.5,31.1,47,167.5,Recôncavo,RPGA do Recôncavo Sul,1001.1
Conceição da Feira - EBDA,-12.501335,-39.001068,7.5,106,124,33.5,75.5,177.5,111,110,51.2,62.5,30.5,82.5,Recôncavo,RPGA do Recôncavo Norte,858.7
Salvador - 19 BC,-12.961069,-38.461056,11.9,142.4,166.6,141.2,273.8,239.5,141.3,101.2,46.4,57.3,86.5,145.9,Recôncavo,RPGA do Recôncavo Norte,1321.61
Mata de São João - ETA - Embasa,-12.394946,-37.934649,17.4,67.2,147.3,181,237.9,170.4,176.6,99.9,88.3,65.2,24.1,95,Recôncavo,RPGA do Recôncavo Norte,1251.2
Una - A437,-15.280215,-39.09127,,,,,,,96.6,99.8,34.6,95.2,196.8,295,Sul,RPGA do Leste,326.2
Salvador - Ilha Amarela,-12.891344,-38.470778,3,167.3,211.5,238,291.1,222.7,146.3,99.6,40.6,55.6,56.7,97.3,Recôncavo,RPGA do Recôncavo Norte,1475.7
Amélia Rodrigues (Rio Seco) - EBDA,-12.400777,-38.758839,,225.4,168,67,,,,99,51.4,,,,Recôncavo,RPGA do Recôncavo Norte,610.8
Muritiba - EBDA,-12.618004,-38.984401,5,177.5,107.5,116.1,90.5,180.5,197,96,62.5,80,17.5,72.5,Recôncavo,RPGA do Rio Paraguaçu,1112.6
Conde - A431,-12.03622,-37.68322,,,,,375.6,112.6,215.6,93.6,59.8,50.8,9,45.2,Nordeste,RPGA do Rio Itapicuru,908
Santo Amaro - EBDA,-12.551335,-38.701059,14.9,135,137,100,302.8,243.8,260,88,88,101,0,18,Recôncavo,RPGA do Recôncavo Norte,1470.5
Muritiba - PG-PR-12,-12.617895,-39.005591,5.25,153.25,93.25,83.75,57.75,123.75,92,87.75,62,63.5,13.75,78.25,Recôncavo,RPGA do Rio Paraguaçu,822.25
Salvador - Base Naval/SSN,-12.796341,-38.489389,13.5,56.8,117.4,100.2,202.1,112.2,148.9,87.5,20.3,47.2,25,90.9,Recôncavo,RPGA do Recôncavo Norte,906.1
Paripiranga - EBDA,-10.684633,-37.851032,13,51,84,50.5,156.8,101.5,116.5,85.8,83.2,0,0,0,Nordeste,RPGA do Rio Vaza-Barris,742.3
Alagoinhas - 83249,-12.148333,-38.425556,3.2,81.9,118,90.4,172.1,147.4,97.1,85.2,51.2,65.2,92.2,118.1,Recôncavo,RPGA do Recôncavo Norte,911.71
Itaparica - EBDA,-12.884677,-38.684395,10.4,133.5,235.5,178.7,166.5,261.1,158.9,85,46.1,83.2,116,66.8,Recôncavo,RPGA do Recôncavo Sul,1358.9
Cruz das Almas - EBDA,-12.668004,-39.101071,3,185.5,194,43,88.9,202.8,175.5,84.4,71.5,95.5,54.5,126.5,Recôncavo,RPGA do Rio Paraguaçu,1144.1
Conceição de Jacuípe - EBDA,-12.317998,-38.767728,12.5,35.5,60,33.6,102.5,167,131.4,84,36.5,42.4,28.5,92.5,Recôncavo,RPGA do Recôncavo Norte,705.4
Simões Filho (Joanes II) - 322,-12.674147,-38.376254,12.7,99,133.5,131.3,229.3,131.1,139.2,83,40.7,38.3,41.4,143.9,Recôncavo,RPGA do Recôncavo Norte,1038.1
Alagoinhas - EBDA,-12.134662,-38.434384,14,68,84.5,69.5,168.5,178,99,80.5,41,39,98,128,Recôncavo,RPGA do Recôncavo Norte,842
Ilhéus (CPLAC) - LE-CL-01,-14.80184,-39.181444,72.75,84.75,161.75,91.5,29.75,164.25,116.75,75,14,33.25,132.25,228,Sul,RPGA do Leste,843.75
Coração de Maria - EBDA,-12.234663,-38.751059,25.5,191.6,103.1,46.2,107.2,132.2,118,74.6,34.3,51.7,58.4,100.4,Recôncavo,RPGA do Recôncavo Norte,884.4
Cruz das Almas - A406,-12.675422,-39.08958,7.6,111.4,93.4,44.5,26.2,115.8,109,74,68.8,66,48.4,90.2,Recôncavo,RPGA do Rio Paraguaçu,716.7
Porto Seguro - A427,-16.388977,-39.182389,,,,,,,,74,50.4,127.6,187.2,166.6,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",252
Rio Real - EBDA,-11.48465,-37.934369,24,65.1,107.2,134.2,177.2,98.9,106.6,73.9,67.8,39.4,17.2,18.8,Nordeste,RPGA do Rio Real,894.3
Sátiro Dias - EBDA,-11.58465,-38.584386,10,191,65,42.5,90,81,77.5,73,33.5,50.5,46.5,76.5,Nordeste,RPGA do Recôncavo Norte,714
Aramari - EBDA,-12.08466,-38.501053,27.2,121.6,58.6,40.3,126.3,140.9,84.7,70.9,36.9,59.2,25.2,156,Recôncavo,RPGA do Recôncavo Norte,766.6
São Sebastião do Passé-EMBASA,-12.517449,-38.492165,2.9,79.5,213.6,69.1,142.2,143.4,177.9,69.7,48.5,50.6,63.8,169.1,Recôncavo,RPGA do Recôncavo Norte,997.41
Mucuri - EBDA,-18.084773,-39.55111,153.5,59.2,104.2,87.6,86.6,320.9,69.8,69.6,28,40.8,426,192.2,Sul,RPGA do Rio Mucuri,1020.2
Maraú - A438,-13.90694,-38.97222,,,,,,,178.6,68.8,165.6,22.2,139,250.8,Sul,RPGA do Recôncavo Sul,435.2
Canavieiras - 83398,-15.666667,-38.95,147,118.3,204.5,36.7,16,197,96.7,66.9,45.3,51,210.2,209.4,Sul,RPGA do Rio Pardo,979.4
Salvador (J. Zoológico) - A401,-13.005515,-38.50576,,,,,27,22.8,110.6,65.6,41.6,34.8,82.2,112.2,Recôncavo,RPGA do Recôncavo Norte,302.4
Itapicuru (EBDA Rib. Pombal) - EBDA,-11.317978,-38.217708,0,130.5,149,32.5,77.5,58.5,73,62,17.5,,,,Nordeste,RPGA do Rio Itapicuru,600.5
Campo Formoso - IT-PR-27,-10.510327,-40.332849,0,55,119.5,161.75,84,76,66.25,61.5,18.25,11.5,0.75,108.5,Norte,RPGA do Rio Itapicuru,653.75
Campo Formoso - EBDA,-10.501287,-40.317761,0,58.25,141.25,133,84,76,66.25,61.5,18.25,11.5,5,104.25,Norte,RPGA do Rio Itapicuru,650
Cícero Dantas - EBDA,-10.584629,-38.384377,9,35.5,205,75,128.5,77.5,122.5,60,25,0,0,15,Nordeste,RPGA do Rio Real,738
Banzaê - EBDA,-10.584629,-38.617717,0,20.3,153.8,88.8,138.2,86.7,49,59.7,27.1,10.3,10.6,65.6,Nordeste,RPGA do Rio Itapicuru,633.9
Conde - IT-PR-31,-11.813434,-37.616927,,,,103,259,66.5,134.5,59.25,40.75,28.75,5,31.75,Nordeste,RPGA do Rio Itapicuru,691.75
Salvador (Ondina) - 83229,-13.005278,-38.505833,17.8,183.8,149.3,154.3,203.6,178.2,149.1,58.7,37.8,31.7,78.4,103.5,Recôncavo,RPGA do Recôncavo Norte,1164.3
Amargosa - A434,-13.009468,-39.616881,,,,,,,,58.4,38,28.8,40,131,Recôncavo,RPGA do Recôncavo Sul,125.2
Feira de Santana - A413,-12.1962,-38.967384,2.4,148,72.2,72,42.8,108,86.2,58,25.2,28,78.6,82.8,Recôncavo,RPGA do Recôncavo Norte,642.81
Feira de Santana - 83221,-12.196111,-38.967222,1.3,152.7,68.9,68.7,38.6,101.8,83.1,57.8,24.8,27,84.1,82.8,Recôncavo,RPGA do Recôncavo Norte,624.7
